"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.05.2019","3.369,78","3.417,12","3.426,87","3.360,26","55,33M","-1,63%"
"17.05.2019","3.425,64","3.433,69","3.436,45","3.402,56","50,90M","-0,38%"
"16.05.2019","3.438,56","3.379,70","3.438,56","3.365,49","44,25M","1,56%"
"15.05.2019","3.385,78","3.364,88","3.385,78","3.332,68","45,61M","0,64%"
"14.05.2019","3.364,38","3.324,85","3.364,38","3.324,85","37,32M","1,31%"
"13.05.2019","3.320,78","3.362,52","3.365,51","3.311,17","40,79M","-1,20%"
"10.05.2019","3.361,05","3.353,68","3.386,22","3.349,84","37,07M","0,31%"
"09.05.2019","3.350,71","3.401,99","3.401,99","3.346,45","43,42M","-1,95%"
"08.05.2019","3.417,26","3.400,19","3.423,96","3.389,07","41,83M","0,47%"
"07.05.2019","3.401,16","3.460,56","3.467,64","3.396,90","48,49M","-1,78%"
"06.05.2019","3.462,95","3.487,54","3.487,54","3.423,33","33,94M","-1,13%"
"03.05.2019","3.502,48","3.489,48","3.510,04","3.486,72","28,07M","0,39%"
"02.05.2019","3.488,93","3.505,77","3.511,43","3.487,75","39,61M","-0,73%"
"01.05.2019","3.514,62","3.514,62","3.514,62","3.514,62","40,55M","0,00%"
"30.04.2019","3.514,62","3.499,71","3.514,62","3.488,10","40,55M","0,36%"
"29.04.2019","3.501,94","3.494,47","3.508,76","3.481,08","33,29M","0,04%"
"26.04.2019","3.500,41","3.492,06","3.503,46","3.484,13","31,92M","0,24%"
"25.04.2019","3.491,92","3.495,41","3.496,40","3.476,28","36,71M","-0,31%"
"24.04.2019","3.502,63","3.500,56","3.515,15","3.491,89","41,76M","-0,03%"
"23.04.2019","3.503,85","3.494,40","3.506,68","3.487,17","33,09M","0,13%"
"18.04.2019","3.499,23","3.477,67","3.506,82","3.464,64","47,45M","0,62%"
"17.04.2019","3.477,73","3.466,89","3.486,76","3.459,81","41,37M","0,41%"
"16.04.2019","3.463,36","3.450,75","3.465,98","3.450,75","37,20M","0,37%"
"15.04.2019","3.450,46","3.448,91","3.456,54","3.443,56","33,92M","0,08%"
"12.04.2019","3.447,83","3.432,16","3.454,77","3.425,84","47,00M","0,36%"
"11.04.2019","3.435,34","3.430,73","3.442,25","3.412,15","38,02M","0,31%"
"10.04.2019","3.424,65","3.418,36","3.435,32","3.418,36","30,19M","0,22%"
"09.04.2019","3.417,22","3.437,07","3.450,69","3.416,67","30,88M","-0,61%"
"08.04.2019","3.438,06","3.446,15","3.447,11","3.433,47","26,00M","-0,27%"
